experiment_id,model_architecture,timestamp,device,img_size,batch_size,epochs_trained,best_val_accuracy,test_accuracy,f1_score_macro,precision_macro,recall_macro,training_time_seconds,peak_memory_mb,train_samples,val_samples,test_samples,total_parameters,trainable_parameters,raiva_f1,nojo_f1,medo_f1,felicidade_f1,neutro_f1,tristeza_f1,surpresa_f1
resnet50_pytorch_emotion_20250916_183433,ResNet50_PyTorch_Improved,2025-09-16T18:48:49.018139,cuda,224,16,50,0.7192691029900332,0.7018348623853211,0.6428777020011085,0.6523400115826142,0.6502767388265832,842.6512286663055,9600.30078125,4211,1806,1526,26267719,17724423,0.5961538461538461,0.4482758620689655,0.5671641791044776,0.8546448087431694,0.6942752740560292,0.6389496717724289,0.7006802721088435
resnet50_pytorch_emotion_20250916_190616,ResNet50_PyTorch_Improved,2025-09-16T19:22:14.878737,cuda,224,16,50,0.819047619047619,0.7149410222804718,0.6614834292995668,0.670492813002778,0.6623412458667943,951.1112642288208,10893.296875,4900,2100,1526,26267719,17724423,0.7243243243243244,0.4296875,0.5454545454545454,0.8612836438923396,0.6622516556291391,0.6549707602339181,0.752411575562701
resnet50_pytorch_emotion_20250916_193523,ResNet50_PyTorch_Improved,2025-09-16T19:47:38.353073,cuda,224,32,44,0.8161904761904762,0.7155963302752294,0.6681688223538801,0.6901170356852376,0.6639105241910931,727.1432702541351,10806.203125,4900,2100,1526,26267719,17724423,0.7222222222222222,0.45188284518828453,0.6,0.8451327433628318,0.6925972396486826,0.6765249537892791,0.6888217522658611
